Date retreived,Hansard document url,Wā,Title,Te Reo length,Ambiguous length,Other length,Is Māori (%),Awaiting authorised reo
2018-01-10 16:21:59.177087,/en/pb/hansard-debates/rhr/document/48HansD_20061019/volume-634-week-28-thursday-19-october-2006,19-Oct-2006  ,"Parliamentary Debates (Hansard) for Thursday, 19 October 2006  ",100,1717,28611,0.3482985615269409,
2018-01-10 16:22:01.028985,/en/pb/hansard-debates/rhr/document/48HansD_20061024/volume-634-week-29-tuesday-24-october-2006,24-Oct-2006  ,"Parliamentary Debates (Hansard) for Tuesday, 24 October 2006  ",125,2645,46141,0.27017680370034153,
2018-01-10 16:22:03.478589,/en/pb/hansard-debates/rhr/document/48HansD_20061025/volume-634-week-29-wednesday-25-october-2006,25-Oct-2006  ,"Parliamentary Debates (Hansard) for Wednesday, 25 October 2006  ",220,2913,49205,0.4451188669701568,
2018-01-10 16:22:05.868567,/en/pb/hansard-debates/rhr/document/48HansD_20061026/volume-634-week-29-thursday-26-october-2006,26-Oct-2006  ,"Parliamentary Debates (Hansard) for Thursday, 26 October 2006  ",214,1582,27487,0.772535287534746,
2018-01-10 16:22:07.723099,/en/pb/hansard-debates/rhr/document/48HansD_20061107/volume-635-week-30-tuesday-7-november-2006,07-Nov-2006  ,"Parliamentary Debates (Hansard) for Tuesday, 7 November 2006  ",172,2653,46985,0.36473906312954596,
2018-01-10 16:22:10.092738,/en/pb/hansard-debates/rhr/document/48HansD_20081108/volume-635-week-30-wednesday-8-november-2006,08-Nov-2006  ,"Parliamentary Debates (Hansard) for Wednesday, 8 November 2006  ",319,2634,45131,0.7018701870187019,
2018-01-10 16:22:12.209953,/en/pb/hansard-debates/rhr/document/48HansD_20061109/volume-635-week-30-thursday-9-november-2006,09-Nov-2006  ,"Parliamentary Debates (Hansard) for Thursday, 9 November 2006  ",1029,1634,27591,3.5953878406708597,
2018-01-10 16:22:14.166396,/en/pb/hansard-debates/rhr/document/48HansD_20061114/volume-635-week-31-tuesday-14-november-2006,14-Nov-2006  ,"Parliamentary Debates (Hansard) for Tuesday, 14 November 2006  ",664,2679,45721,1.4314972512665733,
2018-01-10 16:22:16.514167,/en/pb/hansard-debates/rhr/document/48HansD_20061115/volume-635-week-31-wednesday-15-november-2006,15-Nov-2006  ,"Parliamentary Debates (Hansard) for Wednesday, 15 November 2006  ",1379,2993,48418,2.7692431270960096,
2018-01-10 16:22:18.915746,/en/pb/hansard-debates/rhr/document/48HansD_20061116/volume-635-week-31-thursday-16-november-2006,16-Nov-2006  ,"Parliamentary Debates (Hansard) for Thursday, 16 November 2006  ",119,1485,27261,0.4346238130021914,
